Names	Description	Type	Media
R31	Rhizosphere3	CI	CI
R32	Rhizosphere3	CI	CI
R33	Rhizosphere3	CI	CI
R34	Rhizosphere3	CI	CI
R35	Rhizosphere3	CI	CI
R41	Rhizosphere4	CI	CI
R42	Rhizosphere4	CI	CI
R43	Rhizosphere4	CI	CI
R44	Rhizosphere4	CI	CI
R45	Rhizosphere4	CI	CI
S3-AIA	Rhizosphere3	CD	AIA
S3-AMA	Rhizosphere3	CD	AMA
S3-NB	Rhizosphere3	CD	NB
S3-R2A	Rhizosphere3	CD	R2A
S3-SEA	Rhizosphere3	CD	SEA
S3-TSA	Rhizosphere3	CD	TSA
S3-YEM	Rhizosphere3	CD	YEM
S3-YMA	Rhizosphere3	CD	YMA
S4-AIA	Rhizosphere4	CD	AIA
S4-AMA	Rhizosphere4	CD	AMA
S4-NB	Rhizosphere4	CD	NB
S4-R2A	Rhizosphere4	CD	R2A
S4-SEA	Rhizosphere4	CD	SEA
S4-TSA	Rhizosphere4	CD	TSA
S4-YEM	Rhizosphere4	CD	YEM
S4-YMA	Rhizosphere4	CD	YMA
